"Index","Runner","Status","ErrorSample","FailureBucket"
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:214)
ERROR: Parameter ""t"" is null.
   at: texture_2d_get (./servers/rendering/dummy/storage/texture_storage.h:110)
   GDScript backtrace (most recent call first):
       [0] _process (res://tests/cah_capture_runner.gd:212)
SCRIPT ERROR: Cannot call method 'save_png' on a null value.
   at: _process (res://tests/cah_capture_runner.gd:214)
